2015-09-26 17:15:32,15,200,1011.0,471.0,194.38022437255665,619.0241933572735,1059.7583156043186,470.48209597365803,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:33,12,200,1009.0,512.0,196.2454688471315,626.4363532566983,1052.163511179811,533.3903570043135,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:34,12,200,1131.0,512.0,196.2454688471315,626.4363532566983,1173.3208596378615,535.409462557629,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:35,10,200,1004.0,533.0,197.15870090098286,631.0590974074164,1032.172335750782,570.7469230227007,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:37,8,200,1179.0,588.0,197.8175487739125,635.1955332319372,1215.718946207887,620.1851946612578,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:38,13,200,1200.0,494.0,195.90080634618016,624.9038475865505,1236.3497338396471,522.9438516172107,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:40,11,200,1194.0,559.0,196.65319463187853,628.3837811469891,1239.8766893841591,557.1406503566989,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:41,16,200,1139.0,504.0,194.14719961080823,618.21949642488,1153.7364798147144,458.7167091392385,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:43,16,200,1053.0,466.0,194.14719961080823,618.21949642488,1099.9994801232967,461.1730252272344,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:45,16,200,1017.0,495.0,194.14719961080823,618.21949642488,1053.9391946735102,463.8899590169452,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:47,11,200,1026.0,622.0,196.5700419405772,627.9732391261136,1282.1665579573933,555.965296821266,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:48,9,200,1026.0,622.0,197.40571763657795,632.5042047875195,1053.8998792043324,583.3494358410304,true
